id,timestamp,user_input,model_output,feedback,feedback_value,exploration,expected_output
16913,2025-12-04T12:41:29.690304,597,1194,love,2.0,0,1194
16912,2025-12-04T12:41:29.689190,48,96,love,2.0,0,96
16911,2025-12-04T12:41:29.688777,596,1192,love,2.0,0,1192
16910,2025-12-04T12:41:29.688318,164,328,love,2.0,0,328
16909,2025-12-04T12:41:29.687932,879,1758,love,2.0,0,1758
16908,2025-12-04T12:41:29.687562,952,1904,love,2.0,0,1904
16907,2025-12-04T12:41:29.687164,778,1556,love,2.0,0,1556
16906,2025-12-04T12:41:29.686777,68,136,love,2.0,0,136
16905,2025-12-04T12:41:29.686345,936,1872,love,2.0,0,1872
16904,2025-12-04T12:41:29.685913,893,1786,love,2.0,0,1786
16903,2025-12-04T12:41:29.685359,675,1350,love,2.0,0,1350
16902,2025-12-04T12:41:29.684412,57,114,love,2.0,0,114
16901,2025-12-04T12:41:29.683861,521,1042,love,2.0,0,1042
16900,2025-12-04T12:41:29.683416,612,1224,love,2.0,0,1224
16899,2025-12-04T12:41:29.682971,547,1094,love,2.0,0,1094
16898,2025-12-04T12:41:29.682522,783,1566,love,2.0,0,1566
16897,2025-12-04T12:41:29.682037,959,1918,love,2.0,0,1918
16896,2025-12-04T12:41:29.681493,456,912,love,2.0,0,912
16895,2025-12-04T12:41:29.680928,457,914,love,2.0,0,914
16894,2025-12-04T12:41:29.680294,22,44,love,2.0,0,44
16893,2025-12-04T12:41:29.678772,848,1696,love,2.0,0,1696
16892,2025-12-04T12:41:02.617990,736,1472,love,2.0,0,1472
16891,2025-12-04T12:41:02.616826,269,538,love,2.0,0,538
16890,2025-12-04T12:41:02.615471,732,1464,love,2.0,0,1464
16889,2025-12-04T12:41:02.613569,900,1800,love,2.0,0,1800
16888,2025-12-04T12:41:02.612283,38,538,dislike,0.0,1,76
16887,2025-12-04T12:41:02.611030,970,1940,love,2.0,0,1940
16886,2025-12-04T12:41:02.609731,179,358,love,2.0,0,358
16885,2025-12-04T12:41:02.608451,957,1914,love,2.0,0,1914
16884,2025-12-04T12:41:02.606625,895,1790,love,2.0,0,1790
16883,2025-12-04T12:41:02.603237,300,600,love,2.0,0,600
16882,2025-12-04T12:40:48.650110,51,102,love,2.0,0,102
16881,2025-12-04T12:40:46.184127,123,246,love,2.0,0,246
16880,2025-12-04T12:40:44.200907,9,18,love,2.0,0,18
16879,2025-12-04T12:40:42.833575,555,1110,love,2.0,0,1110
16878,2025-12-04T12:40:40.334096,240,480,love,2.0,0,480
16877,2025-12-04T12:40:36.545111,600,1200,love,2.0,0,1200
16876,2025-12-04T12:40:33.595778,55,110,love,2.0,0,110
16875,2025-12-04T12:40:31.051557,123,223,dislike,1.0,1,246
16874,2025-12-04T12:40:18.823152,44,88,love,2.0,0,88
16873,2025-12-04T12:40:17.051559,9,18,love,2.0,0,18
16872,2025-12-04T12:40:04.972543,2,4,love,2.0,0,4
16871,2025-12-04T12:40:03.141429,6,12,love,2.0,0,12
16870,2025-12-04T12:39:32.838090,5,105,dislike,1.0,1,10
16869,2025-12-04T12:39:25.768051,50,1,dislike,1.0,1,100
16868,2025-12-04T12:39:21.925300,100,973,dislike,1.0,1,200
16867,2025-12-04T12:39:19.017886,4,204,dislike,1.0,1,8
16866,2025-12-04T12:39:14.619918,5,2,dislike,1.0,1,10
16865,2025-12-04T12:39:11.370072,8,6,dislike,1.0,1,16
16864,2025-12-04T12:38:57.067901,3,15,dislike,1.0,1,6
16863,2025-12-04T12:38:53.889163,66,56,dislike,1.0,1,132
16862,2025-12-04T12:38:26.812548,55,275,dislike,1.0,1,110
16861,2025-12-04T12:38:24.535692,3,30,dislike,1.0,1,6
16860,2025-12-04T12:38:21.847687,5,12,dislike,1.0,1,10
16859,2025-12-04T12:38:16.180357,10,297,dislike,1.0,1,20
16858,2025-12-04T12:37:59.865840,5,5,dislike,1.0,1,10
